age,basic_m,basic_w,extended_m,extended_w,full_m,full_w
18,1066,1013,1313,1082,2067,2242
19,1035,1105,1221,1067,2181,2397
20,1143,1094,1269,1086,2367,2427
21,1203,1107,1205,1060,2395,2619
22,1287,1038,1234,1024,2287,2576
23,1207,1128,1141,1019,2286,2518
24,1121,1022,1183,1022,2249,2489
25,1283,1165,1252,1033,2643,2661
26,1227,1017,1141,968,2450,2537
27,1211,1057,1111,1015,2231,2673
28,1248,1029,1181,1028,2379,2705
29,1072,1096,1153,1032,2364,2820
30,1424,1191,1244,1103,2725,2909
31,1195,1054,1143,1142,2462,2715
32,1211,1128,1210,1042,2418,2752
33,1194,1017,1100,1097,2260,2570
34,1153,1045,1138,1013,2280,2545
35,1345,1061,1250,1006,2715,2671
36,1110,1009,1082,1077,2289,2410
37,1179,1075,1151,1014,2361,2412
38,1123,968,1146,1007,2384,2292
39,1185,994,1168,965,2468,2219
40,1523,1018,1224,1072,2879,2315
41,1211,934,1150,952,2499,1954
42,1165,859,1273,929,2420,1954
43,1091,891,1239,968,2450,1910
44,1159,875,1233,952,2602,1854
45,1339,962,1282,925,2873,2057
46,1176,906,1383,1015,2677,1881
47,1216,918,1426,1041,2738,1967
48,1299,1008,1490,1212,2897,2042
49,1353,1089,1623,1197,2992,2198
50,1954,1215,2075,1367,4313,2502
51,1571,1196,1947,1455,3569,2408
52,1778,1070,2106,1526,3932,2789
53,1682,1255,2312,1579,3912,2728
54,1737,1333,2277,1701,4258,2893
55,1996,1381,2472,1690,4552,2982
56,1735,1313,2498,1763,4451,2994
57,1840,1290,2447,1687,4506,2998
58,1863,1282,2503,1866,4395,3010
59,1931,1314,2597,1861,4559,3046
60,2003,1343,2624,1955,4948,3331
61,1835,1356,2578,1945,4455,3164
62,1870,1383,2653,2024,4597,3208
63,1832,1400,2636,1988,4426,3207
64,1740,1472,2510,1841,4435,3155
65,1864,1549,2655,2024,4794,3291
66,1828,1552,2621,2090,4376,3243
67,1872,1615,2719,2127,4552,3569
68,1869,1645,2859,2388,4595,3719
69,1961,1789,2887,2428,4751,3905
70,2116,1860,3063,2722,5296,4293
71,2051,1868,3142,2734,4997,4200
72,2152,2062,3211,2899,5295,4574
73,2168,2106,3243,2993,4957,4427
74,2148,2259,3297,3160,5277,4544
75,2282,2385,3513,3487,5428,5002
76,2391,2572,3529,3861,5567,5258
77,2653,2981,4084,4609,6225,5971
78,2920,3368,4525,5321,6691,7008
79,3072,3624,4870,5873,7261,7307
80,3173,4329,5485,6368,7956,8198
81,3303,4357,5586,6760,7385,8108
82,3356,4659,5738,7305,7745,8639
83,3128,4578,5421,7136,7140,8275
84,3061,4288,4959,6842,6656,8007
85,2892,4167,4576,6479,6007,7421
86,2603,4022,4256,6420,5379,6849
87,2301,3773,3713,5789,4519,6287
88,2058,3553,3346,5552,4059,5620
89,1838,3271,2890,5022,3688,5252
90,1683,3175,2540,4449,3126,4664
91,1368,2867,2204,4043,2527,4163
92,1181,2586,1777,3722,2106,3645
93,852,2005,1354,2932,1636,3110
94,632,1792,1037,2370,1137,2296
95,434,1363,737,1970,794,1809
96,323,1062,495,1475,534,1384
97,235,735,373,1040,372,1052
98,142,508,265,703,227,725
99,154,762,247,1060,227,961
