"size","beds","location","tier","state","dispatch_area","supply_area"
"Large","1050","Urban","Full","Hessen","Marburg-Biedenkopf","VG3"
"Large","1027","Urban","Full","Hessen","Kassel","VG1"
"Large","844","Urban","Full","Hessen","Wiesbaden","VG5"
"Large","828","Urban","Full","Hessen","Frankfurt","VG4"
"Large","799","Urban","Full","Hessen","Offenbach","VG4"
"Medium","531","Rural","Extended","Hessen","Lahn-Dill-Kreis","VG3"
"Medium","523","Rural","Full","Hessen","Limburg-Weilburg","VG5"
"Medium","504","Urban","Full","Hessen","Wiesbaden","VG5"
"Medium","430","Urban","Extended","Hessen","Hochtaunus","VG4"
"Medium","385","Rural","Extended","Hessen","Main-Taunus","VG4"
"Medium","383","Urban","Basic","Hessen","Darmstadt","VG6"
"Medium","320","Urban","Basic","Hessen","Frankfurt","VG4"
"Medium","303","Rural","Extended","Hessen","Werra-Meißner","VG1"
"Medium","272","Urban","Extended","Hessen","Main-Kinzig","VG4"
"Medium","261","Rural","Basic","Hessen","Lahn-Dill-Kreis","VG3"
"Small","237","Rural","Extended","Hessen","Waldeck-Frankenberg","VG1"
"Small","230","Urban","Basic","Hessen","Frankfurt","VG4"
"Small","220","Urban","Extended","Hessen","Schwalm-Eder","VG1"
"Small","210","Urban","Basic","Hessen","Frankfurt","VG4"
"Small","170","Rural","Basic","Hessen","Waldeck-Frankenberg","VG1"
"Small","125","Rural","Basic","Hessen","Werra-Meißner","VG1"
"Small","100","Rural","Basic","Hessen","Hochtaunus","VG4"
"Small","100","Rural","Basic","Hessen","Main-Taunus","VG4"
